,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Bang Bang Pop Pop,JohnnyFang,116,406,351,36,0.342,0.814,735,42,47,3.86,1.2,43,,1,21579,The Sultans of Stats 2019,124146,130.0,199.0,113.0,122.5,116.5,115.5,202.0,163.0,215.5,129.5,151.5,156.5,1814.5,28.0
1,Forearm Tightness,CropRhombus,125,396,374,46,0.34,0.836,655,10,38,3.96,1.17,41,,2,21579,The Sultans of Stats 2019,124156,172.0,179.0,162.5,176.0,102.5,174.0,133.0,13.5,191.0,109.5,180.0,130.0,1723.0,51.0
2,Swinger Bell,WMason,122,392,376,32,0.357,0.844,695,21,41,4.14,1.23,40,,3,21579,The Sultans of Stats 2019,124153,162.0,171.5,166.5,85.0,206.5,194.5,170.0,52.0,201.0,63.5,114.0,118.0,1704.5,58.0
3,Ten Points for Griffeyndor,coreyjro,108,388,336,25,0.341,0.798,703,31,51,3.71,1.22,41,,4,21579,The Sultans of Stats 2019,124166,88.5,159.5,71.0,31.0,110.0,69.5,179.5,107.0,220.0,167.5,132.5,130.0,1466.0,100.0
4,Harper Wallbanger,Prime416,141,395,425,38,0.333,0.819,701,19,33,4.05,1.24,34,,5,21579,The Sultans of Stats 2019,124185,215.5,178.0,219.5,137.0,49.5,128.5,177.0,44.0,170.5,83.0,97.0,61.0,1560.5,82.0
5,Shaky,shaky,125,432,438,37,0.34,0.828,503,53,23,4.71,1.35,31,,6,21579,The Sultans of Stats 2019,124202,172.0,220.5,223.0,130.5,102.5,161.0,27.0,214.5,99.5,6.0,8.0,42.5,1407.0,108.0
6,Clown Cheesesteaks,Hurtya,107,323,355,31,0.328,0.775,727,24,35,3.76,1.12,43,,7,21579,The Sultans of Stats 2019,124188,80.0,24.5,122.0,75.5,22.0,24.0,196.5,71.0,182.0,155.0,211.0,156.5,1320.0,123.0
7,Rocky Mountain High,rdknott,92,352,301,42,0.337,0.77,597,23,41,3.66,1.14,45,,8,21579,The Sultans of Stats 2019,124224,19.5,68.5,16.5,157.0,75.0,17.0,78.0,63.5,201.0,182.0,203.0,175.5,1256.5,133.0
8,Yuuuuper Duper,Do_Not_Look_Up,115,364,351,51,0.35,0.821,689,21,25,4.61,1.35,36,,9,21579,The Sultans of Stats 2019,124169,124.5,94.5,113.0,197.5,177.0,135.5,162.5,52.0,118.5,8.5,8.0,77.5,1269.0,129.0
9,Edwins Parrot,JamieSayer,122,359,361,22,0.351,0.838,549,23,43,4.28,1.35,27,,10,21579,The Sultans of Stats 2019,124194,162.0,84.5,133.0,17.0,187.5,181.0,51.5,63.5,206.5,39.0,8.0,22.0,1155.5,151.0
10,Beige Lunatics,Khaki_Scout,100,367,354,55,0.33,0.76,561,22,53,3.81,1.24,28,,10,21579,The Sultans of Stats 2019,124162,45.0,100.5,119.5,209.5,31.0,9.0,59.0,56.5,221.5,138.0,97.0,28.5,1115.0,158.5
11,Rated Rookies,downpat75,112,356,340,33,0.334,0.805,615,27,17,4.01,1.27,45,,12,21579,The Sultans of Stats 2019,124189,109.5,75.0,83.5,95.5,56.0,90.5,92.5,86.0,60.0,94.5,67.5,175.5,1086.0,166.0
12,boston phucknuts,phucknut,117,369,346,32,0.326,0.787,654,27,24,4.12,1.22,32,,13,21579,The Sultans of Stats 2019,124304,134.0,108.0,100.0,85.0,15.0,41.5,129.5,86.0,108.5,68.5,132.5,49.5,1058.0,170.0
13,Humongous Melonheads,bearzRchill,99,337,336,36,0.336,0.789,680,33,34,4.05,1.27,34,,14,21579,The Sultans of Stats 2019,124179,41.0,39.0,71.0,122.5,69.0,45.0,151.5,115.0,177.5,83.0,67.5,61.0,1043.0,174.0
14,Mighty Morphin' Bauer Rangers,notgradylittle,103,344,305,33,0.321,0.766,667,50,16,4.1,1.26,50,,15,21579,The Sultans of Stats 2019,124164,58.5,50.0,22.0,95.5,5.0,15.0,138.5,203.0,55.0,72.5,78.0,210.5,1003.5,178.0
15,Allegheny River Stranglers,kjohnm,105,350,322,20,0.332,0.792,602,20,32,3.85,1.26,34,,16,21579,The Sultans of Stats 2019,124151,68.5,61.5,47.5,11.5,42.0,51.0,80.5,48.0,164.0,133.0,78.0,61.0,846.5,200.0
16,Bavarian Legends,xacex,132,393,367,41,0.338,0.811,732,7,55,3.99,1.22,53,,1,21581,D2 - Tony La Russa,124148,197.5,175.0,148.5,151.0,82.0,108.5,200.0,10.0,225.5,101.5,132.5,217.5,1749.5,46.0
17,Hayzer,Hayzer13,113,381,370,32,0.34,0.801,758,26,35,3.28,1.11,47,,2,21581,D2 - Tony La Russa,124209,114.5,137.5,154.0,85.0,102.5,84.5,211.5,81.0,182.0,221.0,215.0,198.5,1787.0,38.0
18,Makes you wanna Schoop Schoop Schoop,shivvvy,116,365,327,38,0.351,0.837,750,46,26,3.93,1.2,46,,3,21581,D2 - Tony La Russa,124228,130.0,97.5,55.0,137.0,187.5,178.0,208.0,189.0,127.5,117.0,151.5,189.5,1767.5,42.0
19,Team Pup N Suds,florun,132,391,364,33,0.35,0.843,694,35,32,4.26,1.29,41,,4,21581,D2 - Tony La Russa,124161,197.5,168.0,137.5,95.5,177.0,192.5,167.0,123.0,164.0,40.5,43.0,130.0,1635.5,70.0
20,vzomed,vzomed,122,397,365,29,0.346,0.836,761,14,45,4.39,1.28,47,,5,21581,D2 - Tony La Russa,124172,162.0,182.0,140.5,61.0,151.5,174.0,213.5,23.0,211.5,21.5,55.0,198.5,1594.0,76.5
21,Syndergaarden Cop,GarrettGus,122,386,396,28,0.347,0.854,626,45,31,4.25,1.33,38,,6,21581,D2 - Tony La Russa,124187,162.0,154.0,198.5,51.0,156.5,207.0,105.0,184.0,159.5,42.5,19.5,96.0,1535.5,86.0
22,Finding Nimmo,SPRX97,109,335,334,28,0.364,0.834,682,18,40,3.7,1.21,41,,7,21581,D2 - Tony La Russa,124181,95.0,34.5,65.5,51.0,220.0,170.0,155.0,38.5,198.0,171.0,143.5,130.0,1472.0,97.0
23,OldManMax,OldManMax,123,382,391,48,0.333,0.806,573,25,44,4.15,1.35,21,,8,21581,D2 - Tony La Russa,124205,167.0,140.0,191.0,184.0,49.5,94.0,64.0,76.5,209.0,60.5,8.0,7.5,1251.0,134.0
24,BustHerPosey,BustHerPosey,105,359,331,35,0.329,0.763,672,40,26,3.75,1.16,46,,9,21581,D2 - Tony La Russa,124165,68.5,84.5,61.0,112.5,26.5,12.5,144.0,152.5,127.5,157.0,190.0,189.5,1326.0,120.0
25,hbt,onegaishimasu,86,378,311,26,0.349,0.789,718,40,20,3.72,1.17,42,,10,21581,D2 - Tony La Russa,124226,8.0,123.5,32.5,36.0,166.0,45.0,190.5,152.5,82.0,164.0,180.0,144.0,1324.0,121.0
26,kristusv,KristusV,114,357,322,51,0.332,0.797,644,22,19,3.76,1.24,49,,11,21581,D2 - Tony La Russa,124204,119.5,77.5,47.5,197.5,42.0,64.0,119.0,56.5,75.5,155.0,97.0,206.5,1257.5,132.0
27,Who's Your Vladdy?,26torrez,115,343,362,53,0.335,0.817,462,29,28,4.45,1.3,20,,12,21581,D2 - Tony La Russa,124207,124.5,47.5,135.0,206.0,62.0,122.0,12.0,95.5,138.0,16.0,34.5,5.0,998.0,180.0
28,Two Birds One Bat,sinfolaw,96,385,337,43,0.335,0.786,621,50,25,4.34,1.35,39,,13,21581,D2 - Tony La Russa,124173,28.0,150.0,74.5,162.5,62.0,39.5,98.5,203.0,118.5,30.0,8.0,108.0,1082.5,167.0
29,CloudKoopa,CloudKoopa,105,322,336,32,0.326,0.778,648,36,25,4.06,1.27,28,,14,21581,D2 - Tony La Russa,124154,68.5,23.0,71.0,85.0,15.0,32.0,122.5,131.0,118.5,79.5,67.5,28.5,842.0,201.0
30,Hakuna Tanaka,ndevito1,129,383,384,30,0.347,0.827,699,29,43,3.69,1.25,41,,1,21580,D2 - Joe Torre,124178,185.5,143.0,182.0,69.5,156.5,157.0,174.0,95.5,206.5,175.0,87.0,130.0,1761.5,44.0
31,evilempire105,evilempire105,110,392,340,38,0.357,0.848,662,41,37,3.64,1.15,42,,2,21580,D2 - Joe Torre,124168,100.5,171.5,83.5,137.0,206.5,200.0,135.5,157.5,187.0,185.0,196.0,144.0,1904.0,17.0
32,NextLevelFantasy,NextLvlFantasy,136,388,407,24,0.345,0.826,666,17,54,3.47,1.19,41,,3,21580,D2 - Joe Torre,124033,206.5,159.5,214.0,24.5,146.0,150.5,137.0,33.5,223.5,203.5,160.0,130.0,1788.5,37.0
33,Zach20245,Zach20245,115,370,343,52,0.334,0.794,729,27,25,3.68,1.12,58,,4,21580,D2 - Joe Torre,124167,124.5,111.0,91.0,203.0,56.0,55.5,198.0,86.0,118.5,179.0,211.0,225.5,1659.0,65.0
34,SparksFlowing,SparksFlowing,119,383,349,42,0.349,0.827,615,21,39,3.99,1.23,38,,5,21580,D2 - Joe Torre,124217,145.0,143.0,107.0,157.0,166.0,157.0,92.5,52.0,195.0,101.5,114.0,96.0,1526.0,88.0
35,TheTinDoor,TheTinDoor,119,399,352,47,0.333,0.799,669,36,33,4.25,1.22,33,,6,21580,D2 - Joe Torre,124159,145.0,187.5,116.0,178.5,49.5,76.0,141.5,131.0,170.5,42.5,132.5,54.5,1425.0,105.0
36,The Mookie Monster,MattR123,101,407,361,36,0.338,0.778,714,30,33,4.14,1.3,43,,7,21580,D2 - Joe Torre,124232,50.5,201.5,133.0,122.5,82.0,32.0,187.0,101.5,170.5,63.5,34.5,156.5,1335.0,118.0
37,TeddyRoosevelt10,teddyroosevelt1,101,370,352,47,0.328,0.79,654,49,24,3.38,1.15,37,,8,21580,D2 - Joe Torre,124152,50.5,111.0,116.0,178.5,22.0,48.0,129.5,198.5,108.5,212.0,196.0,86.0,1456.5,101.0
38,HeyWaduhYaSayNahKid,ndjolt02,103,353,335,27,0.345,0.809,695,42,30,3.78,1.24,36,,9,21580,D2 - Joe Torre,124160,58.5,71.0,67.5,42.0,146.0,100.5,170.0,163.0,154.5,146.5,97.0,77.5,1294.0,126.0
