,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Bang Bang Pop Pop,JohnnyFang,250,814,722,81,0.345,0.837,1350,70,83,3.87,1.18,71,,1,21579,The Sultans of Stats 2019,124146,198.5,225.0,178.0,172.0,117.5,143.5,197.0,158.5,218.0,162.5,195.5,118.0,2084.0,11.0
1,50/50 With Anibal,WMason,250,750,737,77,0.35,0.846,1305,43,67,4.25,1.25,78,,2,21579,The Sultans of Stats 2019,124153,198.5,180.5,198.0,159.5,163.0,174.0,184.0,59.5,179.0,62.5,113.0,158.5,1830.0,41.5
2,Harper Wallbanger,docbrock,255,755,761,74,0.344,0.837,1343,48,69,4.1,1.28,72,,3,21579,The Sultans of Stats 2019,124185,208.5,186.0,214.0,147.5,110.5,143.5,195.0,74.5,187.5,105.0,76.0,123.0,1771.0,52.0
3,Rocky Mountain High,rdknott,194,705,646,87,0.351,0.829,1228,56,65,3.66,1.18,84,,4,21579,The Sultans of Stats 2019,124224,49.5,112.0,77.5,193.0,173.0,114.0,138.5,106.0,173.0,200.0,195.5,190.0,1722.0,56.0
4,Forearm Tightness,CropRhombus,216,732,678,85,0.336,0.819,1180,16,86,4.02,1.17,77,,5,21579,The Sultans of Stats 2019,124156,109.0,151.5,126.0,186.5,43.5,79.0,122.0,13.0,221.0,123.5,205.0,150.5,1530.5,84.0
5,Yuuuuper Duper,Do_Not_Look_Up,223,712,685,83,0.352,0.846,1271,38,48,4.33,1.3,72,,6,21579,The Sultans of Stats 2019,124169,126.5,123.5,132.0,180.5,182.5,174.0,166.0,46.5,112.5,46.5,50.0,123.0,1463.5,95.0
6,Ten Points for Griffeyndor,coreyjro,209,772,655,52,0.346,0.825,1230,58,81,4.15,1.29,69,,7,21579,The Sultans of Stats 2019,124166,88.5,202.0,92.0,43.0,126.0,99.0,142.0,114.0,214.5,93.5,61.0,108.0,1383.5,110.0
7,Edwins Parrot,JamieSayer,250,700,693,47,0.358,0.86,866,64,85,4.42,1.35,36,,8,21579,The Sultans of Stats 2019,124194,198.5,106.0,144.0,23.0,210.5,208.5,21.0,138.5,219.5,27.0,12.5,6.0,1315.0,123.0
8,Rated Rookies,downpat75,220,664,680,57,0.339,0.828,1168,40,52,3.95,1.28,74,,9,21579,The Sultans of Stats 2019,124189,119.5,67.0,127.5,68.5,63.0,107.5,114.0,52.5,128.5,137.5,76.0,135.0,1196.5,144.0
9,Beige Lunatics,Khaki_Scout,212,704,689,96,0.328,0.774,1121,51,82,4.17,1.3,66,,10,21579,The Sultans of Stats 2019,124162,97.0,110.5,136.0,210.0,10.0,6.5,95.5,86.5,217.0,85.5,50.0,93.0,1197.5,143.0
