,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Hayzer,Hayzer13,221,743,736,53,0.347,0.822,1404,44,68,3.59,1.17,93,,1,21581,D2 - Tony La Russa,124209,21.0,35.5,41.0,7.0,31.5,20.5,39.0,12.5,30.0,39.0,38.5,41.0,2193.5,5.0
1,Bavarian Legends,xacex,251,750,699,76,0.34,0.82,1399,7,85,4.23,1.27,93,,2,21581,D2 - Tony La Russa,124148,42.0,38.5,30.0,29.5,16.5,17.0,38.0,1.0,41.0,15.5,21.0,41.0,1977.0,12.0
2,Team Pup N Suds,florun,247,728,722,53,0.362,0.866,1291,59,62,4.22,1.26,75,,3,21581,D2 - Tony La Russa,124161,40.0,27.5,37.0,7.0,42.0,42.0,26.0,23.5,23.5,17.0,24.0,21.0,2086.5,8.0
3,Makes you wanna Schoop Schoop Schoop,shivvvy,235,715,670,60,0.352,0.849,1378,83,38,3.98,1.21,77,,4,21581,D2 - Tony La Russa,124228,32.5,20.0,20.0,16.5,37.5,39.5,37.0,38.5,4.0,26.0,31.5,24.0,2101.0,7.0
4,hbt,onegaishimasu,208,743,647,58,0.351,0.835,1255,64,67,3.84,1.17,66,,5,21581,D2 - Tony La Russa,124226,14.0,35.5,10.0,13.5,35.0,32.0,22.0,28.0,28.5,34.0,38.5,13.0,1979.0,11.0
5,vzomed,vzomed,227,729,672,53,0.339,0.826,1476,45,75,4.31,1.27,88,,6,21581,D2 - Tony La Russa,124172,25.5,29.0,22.5,7.0,14.5,25.5,41.0,15.0,34.0,13.0,21.0,37.0,1782.0,18.0
6,kristusv,KristusV,243,708,655,84,0.342,0.829,1168,39,55,3.94,1.29,81,,7,21581,D2 - Tony La Russa,124204,37.0,17.0,15.0,35.0,21.0,28.0,10.0,10.5,15.0,28.0,15.5,30.0,1757.0,21.0
7,Finding Nimmo,SPRX97,206,661,648,62,0.354,0.824,1182,39,80,3.81,1.21,67,,8,21581,D2 - Tony La Russa,124181,11.0,4.5,11.5,19.5,40.0,22.5,13.0,10.5,38.0,37.0,31.5,14.5,1772.0,19.0
8,BustHerPosey,BustHerPosey,206,695,648,66,0.331,0.777,1252,80,61,3.65,1.16,84,,9,21581,D2 - Tony La Russa,124165,11.0,16.0,11.5,22.0,2.5,1.0,20.0,37.0,22.0,38.0,41.0,34.5,1826.5,15.0
9,Syndergaarden Cop,GarrettGus,230,716,726,59,0.343,0.844,1049,68,57,4.51,1.34,59,,10,21581,D2 - Tony La Russa,124187,27.0,21.5,39.0,15.0,23.5,36.0,7.0,29.5,17.0,5.0,5.5,8.0,1590.0,27.0
10,Two Birds One Bat,sinfolaw,212,739,659,82,0.337,0.806,1235,76,38,4.23,1.35,80,,11,21581,D2 - Tony La Russa,124173,17.5,33.0,17.0,32.5,13.0,10.0,18.0,35.5,4.0,15.5,3.5,29.0,1593.5,26.0
11,OldManMax,OldManMax,217,728,690,103,0.332,0.81,982,45,76,4.38,1.34,41,,12,21581,D2 - Tony La Russa,124205,19.0,27.5,27.0,41.0,5.0,13.0,6.0,15.0,36.0,10.5,5.5,2.0,1408.0,36.0
12,CloudKoopa,CloudKoopa,204,661,634,60,0.339,0.819,1177,63,53,4.2,1.3,60,,13,21581,D2 - Tony La Russa,124154,8.0,4.5,5.0,16.5,14.5,15.5,11.5,27.0,14.0,19.0,13.5,9.5,1308.5,38.0
13,Who's Your Vladdy?,26torrez,189,631,623,83,0.335,0.804,820,68,46,4.38,1.32,31,,14,21581,D2 - Tony La Russa,124207,1.0,1.0,3.0,34.0,9.0,8.5,1.0,29.5,8.5,10.5,8.5,1.0,1054.5,42.0
14,Zach20245,Zach20245,223,751,710,92,0.352,0.851,1374,47,64,3.93,1.15,93,,1,21580,D2 - Joe Torre,124167,22.0,40.0,33.0,40.0,37.5,41.0,36.0,18.0,25.0,29.0,42.0,41.0,2436.0,1.0
15,NextLevelFantasy,NextLvlFantasy,240,733,748,51,0.345,0.829,1282,22,106,3.56,1.17,84,,2,21580,D2 - Joe Torre,124033,36.0,31.0,42.0,5.0,27.0,28.0,25.0,3.0,42.0,41.0,38.5,34.5,2157.5,6.0
16,Hakuna Tanaka,ndevito1,248,732,711,56,0.343,0.825,1269,46,77,3.82,1.24,79,,3,21580,D2 - Joe Torre,124178,41.0,30.0,35.0,10.0,23.5,24.0,24.0,17.0,37.0,36.0,27.0,27.5,2006.0,10.0
17,evilempire105,evilempire105,201,750,652,76,0.351,0.836,1177,87,75,3.92,1.25,69,,4,21580,D2 - Joe Torre,124168,6.0,38.5,13.5,29.5,35.0,33.5,11.5,40.0,34.0,30.0,25.5,16.0,2026.0,9.0
18,SparksFlowing,SparksFlowing,236,714,672,75,0.346,0.821,1197,37,70,3.84,1.21,70,,5,21580,D2 - Joe Torre,124217,34.5,19.0,22.5,27.5,29.0,18.5,14.0,8.5,31.0,34.0,31.5,17.0,1893.0,14.0
19,TheTinDoor,TheTinDoor,233,737,701,90,0.344,0.836,1115,57,59,4.3,1.27,58,,6,21580,D2 - Joe Torre,124159,29.5,32.0,31.0,38.0,26.0,33.5,8.0,21.5,18.5,14.0,21.0,7.0,1790.5,16.0
20,The Mookie Monster,MattR123,198,761,669,67,0.341,0.796,1309,59,60,4.08,1.3,82,,7,21580,D2 - Joe Torre,124232,4.5,41.0,19.0,23.5,19.0,5.0,30.0,23.5,20.5,24.0,13.5,31.0,1714.0,23.0
21,HeyWaduhYaSayNahKid,ndjolt02,219,668,635,61,0.34,0.807,1212,74,50,3.84,1.22,60,,8,21580,D2 - Joe Torre,124160,20.0,9.5,6.5,18.0,16.5,11.0,16.0,33.0,12.0,34.0,28.5,9.5,1578.0,28.0
