,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Trillium Trails,nfeuerer,326,907,901,77,0.35,0.865,1601,73,80,3.86,1.17,90,,1,21583,D3 - Andy Pettitte,124328,84.0,81.0,81.0,46.0,58.0,81.0,74.0,48.0,74.0,57.0,74.0,62.0,2902.5,1.0
1,Happy Holadays,SHTTNwTHINKIN,263,838,798,66,0.343,0.826,1714,108,56,3.75,1.2,100,,2,21583,D3 - Andy Pettitte,124299,51.0,58.0,56.5,26.5,37.5,35.0,82.0,77.0,42.0,69.0,60.5,76.5,2465.5,15.0
2,Oneonta Tigers,breakfishclub,291,848,818,81,0.356,0.866,1450,76,72,4.52,1.38,94,,3,21583,D3 - Andy Pettitte,124345,76.5,64.0,64.0,54.0,74.5,82.0,58.0,53.5,68.0,8.5,2.0,70.0,2389.5,22.0
3,Bush League Brawlers,topheroc,263,800,835,79,0.339,0.821,1652,68,84,3.89,1.23,98,,4,21583,D3 - Andy Pettitte,124369,51.0,37.5,70.0,49.5,21.0,27.0,78.0,42.0,79.0,53.0,49.0,73.0,2364.5,24.0
4,The Juiced Balls,JayWilly,305,871,859,94,0.349,0.848,1538,56,46,4.26,1.24,88,,5,21583,D3 - Andy Pettitte,124296,81.0,73.0,75.0,66.0,52.5,64.5,69.5,28.5,25.0,18.0,43.5,58.0,2379.0,23.0
5,Ahead of the Curve,Take Over,243,823,752,80,0.355,0.851,1276,94,70,3.89,1.27,67,,6,21583,D3 - Andy Pettitte,124371,33.0,49.0,34.0,52.5,71.5,68.5,40.0,70.5,64.5,53.0,27.0,23.5,2185.5,31.0
6,Arrow'd by Archer,mkultra3,262,816,816,75,0.338,0.843,1399,88,79,4.31,1.31,77,,7,21583,D3 - Andy Pettitte,124440,49.0,46.0,63.0,39.5,17.5,55.0,52.0,62.5,73.0,15.0,10.5,37.5,1992.0,41.0
7,stupid money,Take Over,210,793,716,57,0.36,0.844,1038,59,27,3.66,1.17,57,,8,21583,D3 - Andy Pettitte,124344,11.5,34.0,25.0,13.5,81.5,57.5,16.0,31.5,11.0,75.0,74.0,12.5,1760.5,54.0
8,Springfield Isotopes,Saaulgooodmaan,219,696,710,126,0.351,0.849,925,26,2,4.16,1.22,77,,9,21583,D3 - Andy Pettitte,124359,18.0,12.0,22.0,82.0,63.0,66.5,6.0,9.0,3.0,29.0,52.5,37.5,1625.0,60.0
9,Helyar Hellhounds,Take Over,210,649,631,42,0.331,0.783,1289,60,8,3.48,1.09,89,,10,21583,D3 - Andy Pettitte,124284,11.5,2.5,7.0,4.0,3.0,2.0,42.0,33.0,5.0,83.0,84.0,59.5,1428.5,68.0
10,Red Rockets,hgfantomos,194,699,616,108,0.342,0.802,1035,81,49,4.55,1.33,55,,11,21583,D3 - Andy Pettitte,124325,5.0,13.0,4.0,80.0,33.0,11.0,15.0,58.5,30.0,6.5,6.5,11.0,1205.0,76.0
11,Lord Chanka,Take Over,217,665,594,41,0.344,0.817,860,36,64,4.4,1.28,40,,12,21583,D3 - Andy Pettitte,124391,17.0,6.5,3.0,3.0,40.5,21.5,3.0,13.5,54.5,12.0,23.0,3.0,939.0,81.0
12,Indecent Expos,MurrayN,274,845,867,37,0.35,0.846,1528,106,66,3.64,1.19,92,,1,21584,D3 - Randy Johnson,124295,61.5,63.0,76.0,2.0,58.0,62.0,67.0,76.0,56.5,76.0,64.5,67.5,2649.0,9.0
13,wOBAffet,AdroitNinja,272,796,775,58,0.352,0.845,1664,97,67,3.75,1.16,90,,2,21584,D3 - Randy Johnson,124338,59.5,35.0,44.0,16.0,66.5,60.0,79.0,72.0,58.0,69.0,78.0,62.0,2571.5,12.0
14,Redbird Redemption,RedbeardMtn,277,858,848,76,0.347,0.835,1209,30,63,4.03,1.25,87,,3,21584,D3 - Randy Johnson,124357,65.0,68.5,72.0,43.5,46.5,46.0,33.0,10.0,51.0,40.0,35.5,56.5,2089.0,38.0
15,Springfield Isotopes,sanru22,257,841,794,101,0.351,0.853,1460,52,53,4.21,1.26,86,,4,21584,D3 - Randy Johnson,124289,44.0,60.0,52.5,77.0,63.0,71.0,60.0,20.5,39.5,25.0,30.0,53.0,2242.5,28.0
16,Jhonny P. Goode,BackInRed,259,856,832,79,0.355,0.851,1295,54,51,4.21,1.27,83,,5,21584,D3 - Randy Johnson,124263,46.0,67.0,69.0,49.5,71.5,68.5,43.0,23.5,34.0,25.0,27.0,46.5,2124.5,34.0
17,Battered Bird Club,Tomosaki,263,831,776,76,0.335,0.825,1395,63,61,3.82,1.21,90,,6,21584,D3 - Randy Johnson,124355,51.0,52.5,45.0,43.5,9.0,33.5,50.0,39.0,47.0,62.0,56.5,62.0,2095.0,36.0
18,FaNtAsY bAsEbAlL,BluntForce19,250,776,715,54,0.341,0.799,1505,112,63,3.73,1.17,86,,7,21584,D3 - Randy Johnson,124269,39.0,30.0,23.5,11.0,28.5,10.0,65.0,79.0,51.0,71.0,74.0,53.0,2047.0,40.0
19,Swing and A Miss,bmox09,265,823,799,75,0.342,0.842,1060,99,33,4.02,1.24,59,,8,21584,D3 - Randy Johnson,124288,53.0,49.0,58.0,39.5,33.0,53.5,23.0,73.5,16.0,41.5,43.5,16.0,1901.5,47.0
