,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Bang Bang Pop Pop,JohnnyFang,289,929,818,92,0.346,0.841,1547,81,96,3.88,1.17,84,,1,21579,The Sultans of Stats 2019,124146,206.0,224.5,180.5,171.0,125.0,151.5,202.0,166.0,220.5,155.5,203.5,139.5,2145.5,7.0
1,50/50 With Anibal,WMason,287,849,848,88,0.35,0.846,1472,56,75,4.35,1.25,85,,2,21579,The Sultans of Stats 2019,124153,200.5,177.5,203.5,159.5,166.0,174.0,177.0,80.0,178.0,35.5,105.5,144.5,1801.5,49.0
2,Harper Wallbanger,docbrock,291,861,849,84,0.347,0.842,1541,53,78,4.03,1.27,82,,3,21579,The Sultans of Stats 2019,124185,210.0,193.5,205.0,145.0,134.0,155.0,200.0,70.0,182.5,116.5,78.5,125.0,1815.0,45.0
3,Rocky Mountain High,rdknott,226,798,743,93,0.347,0.828,1418,67,70,3.7,1.17,96,,4,21579,The Sultans of Stats 2019,124224,66.0,109.5,90.5,176.0,134.0,110.5,155.0,117.5,159.5,196.0,203.5,197.5,1715.5,59.0
4,Forearm Tightness,CropRhombus,246,837,766,94,0.338,0.821,1347,18,103,4.0,1.18,86,,5,21579,The Sultans of Stats 2019,124156,108.5,164.5,116.5,182.0,57.5,84.5,124.0,13.0,222.0,126.5,191.0,149.5,1539.5,81.0
5,Ten Points for Griffeyndor,coreyjro,233,860,747,59,0.347,0.828,1390,69,92,3.96,1.26,79,,6,21579,The Sultans of Stats 2019,124166,75.0,190.5,95.0,43.0,134.0,110.5,146.0,126.5,218.5,134.5,91.5,112.5,1477.5,89.0
6,Edwins Parrot,JamieSayer,284,798,786,56,0.358,0.86,987,78,92,4.32,1.32,39,,7,21579,The Sultans of Stats 2019,124194,194.0,109.5,143.5,33.5,210.0,205.0,27.0,154.0,218.5,41.5,22.5,5.5,1364.5,112.0
7,Yuuuuper Duper,Do_Not_Look_Up,252,798,798,93,0.351,0.846,1435,41,63,4.39,1.31,79,,8,21579,The Sultans of Stats 2019,124169,126.5,109.5,161.5,176.0,176.5,174.0,160.0,42.5,136.0,31.0,30.5,112.5,1436.5,96.5
8,Rated Rookies,downpat75,247,765,749,65,0.339,0.825,1357,43,67,3.91,1.27,82,,9,21579,The Sultans of Stats 2019,124189,111.0,79.5,96.5,66.5,65.5,97.5,131.0,46.0,148.5,146.5,78.5,125.0,1192.0,143.0
9,Beige Lunatics,Khaki_Scout,238,797,760,115,0.326,0.77,1338,55,85,4.05,1.28,83,,9,21579,The Sultans of Stats 2019,124162,85.0,107.0,113.0,216.0,6.5,5.0,119.0,76.5,206.0,111.5,65.0,131.5,1242.0,135.0
10,Allegheny River Stranglers,kjohnm,245,741,750,62,0.33,0.8,1357,61,80,4.01,1.27,70,,11,21579,The Sultans of Stats 2019,124151,106.0,55.5,98.0,54.0,12.5,32.5,131.0,97.5,190.5,123.0,78.5,76.5,1055.5,164.0
