,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Terrence Young,Terrence8026,307,895,852,67,0.357,0.874,1546,102,85,3.75,1.17,94,,1,21590,D4 - Mike Mussina,124701,82.0,78.0,77.0,30.0,73.5,76.0,81.0,78.0,80.0,68.5,74.5,74.0,3053.5,1.0
1,HearTheBeard,hearthebeard,300,831,840,60,0.354,0.853,1130,98,79,3.48,1.14,54,,2,21590,D4 - Mike Mussina,124722,81.0,57.0,73.0,19.0,69.5,66.5,32.0,75.5,77.5,82.0,79.0,12.0,2536.5,14.0
2,Let The Mookie Win,Tcryden,246,837,797,105,0.351,0.835,1321,66,79,4.06,1.2,74,,3,21590,D4 - Mike Mussina,124708,48.0,62.0,60.0,74.0,62.5,43.0,58.0,39.0,77.5,42.0,64.0,40.0,2343.5,18.0
3,The Mensches,MasonO,276,761,739,76,0.338,0.842,1088,78,48,3.77,1.22,62,,4,21590,D4 - Mike Mussina,124794,67.0,36.0,40.0,43.5,19.0,55.5,23.0,56.0,51.0,65.0,53.5,25.0,1884.5,37.0
4,Bowie Baysox,M5rich5,201,688,634,90,0.349,0.836,1352,19,1,3.68,1.15,113,,5,21590,D4 - Mike Mussina,124700,16.5,20.0,10.5,63.0,53.5,44.0,63.0,9.0,3.5,71.5,77.0,83.0,1909.0,35.0
5,Norwood Newt,nrwdnewt,222,777,751,69,0.345,0.829,1111,47,19,3.64,1.24,75,,6,21590,D4 - Mike Mussina,124738,27.5,42.0,44.5,31.0,37.5,39.0,29.0,22.5,19.0,75.0,41.0,42.5,1661.0,52.0
6,cancer_sticks,cancer_sticks,243,783,724,66,0.34,0.813,1376,97,60,4.2,1.27,62,,7,21590,D4 - Mike Mussina,124669,42.5,45.0,33.5,28.0,23.0,21.0,65.0,74.0,66.5,23.5,27.0,25.0,1671.5,49.0
7,Lords of Lumber,Clarkbar36,197,669,588,92,0.36,0.853,998,72,5,4.48,1.31,66,,8,21590,D4 - Mike Mussina,124706,12.0,16.0,5.0,65.0,79.0,66.5,15.0,47.5,8.0,7.0,9.5,28.0,1426.5,61.0
8,Ole,MatrixDream,250,774,743,73,0.35,0.87,792,5,31,4.8,1.35,56,,9,21590,D4 - Mike Mussina,124778,51.0,40.0,43.0,39.0,59.5,75.0,1.0,2.0,30.5,1.0,3.5,16.5,1328.0,69.0
9,Black Love Soul Food,ceashley32,183,695,661,84,0.346,0.812,1068,48,20,4.22,1.29,54,,10,21590,D4 - Mike Mussina,124731,6.0,21.0,19.0,55.0,41.0,19.5,20.0,24.0,21.0,21.0,16.0,12.0,1143.0,77.0
10,Stupid Betts,brhill5873,197,646,642,92,0.328,0.784,848,82,7,3.68,1.27,49,,11,21590,D4 - Mike Mussina,124715,12.0,9.0,13.0,65.0,4.5,6.0,4.0,63.0,11.0,71.5,27.0,5.0,1204.5,75.0
11,The Standing Waves,thejoelingdead,181,566,572,32,0.328,0.778,1138,42,50,4.1,1.29,68,,12,21590,D4 - Mike Mussina,124813,4.5,2.0,3.0,2.0,4.5,4.0,36.0,19.5,54.5,36.5,16.0,30.5,891.5,84.0
12,Franimal House,parkranger2000,285,864,864,99,0.363,0.889,1448,94,49,4.17,1.25,87,,1,21591,D4 - Mariano Rivera,124903,72.5,70.5,79.0,69.0,82.0,84.0,73.0,72.0,52.0,27.0,36.0,62.5,2695.5,8.0
