,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Team Pup N Suds,florun,278,827,805,65,0.364,0.868,1473,67,73,4.22,1.25,83,,1,21581,D2 - Tony La Russa,124161,37.0,28.0,34.0,11.5,42.0,42.0,27.0,25.0,25.0,18.0,23.5,18.0,2091.0,7.0
1,Bavarian Legends,xacex,281,851,797,84,0.343,0.825,1567,7,91,4.38,1.29,102,,2,21581,D2 - Tony La Russa,124148,41.0,37.0,33.0,27.0,23.0,24.0,37.0,1.0,39.5,9.0,14.5,41.5,1916.5,13.0
2,Makes you wanna Schoop Schoop Schoop,shivvvy,262,816,769,65,0.357,0.855,1572,99,40,3.92,1.2,89,,3,21581,D2 - Tony La Russa,124228,27.5,23.0,24.0,11.5,40.5,41.0,38.0,39.0,3.0,30.5,32.5,28.0,2155.5,4.0
3,hbt,onegaishimasu,249,861,745,71,0.347,0.832,1468,69,81,3.85,1.18,78,,4,21581,D2 - Tony La Russa,124226,18.5,40.5,13.0,16.0,32.0,29.5,26.0,26.0,32.0,33.5,37.0,14.5,2021.5,11.0
4,Hayzer,Hayzer13,250,823,816,56,0.344,0.817,1582,46,79,3.67,1.18,102,,5,21581,D2 - Tony La Russa,124209,20.0,27.0,37.0,5.0,26.0,17.0,39.0,9.0,29.0,39.0,37.0,41.5,2042.0,8.0
5,Syndergaarden Cop,GarrettGus,267,830,829,67,0.345,0.851,1192,80,70,4.3,1.31,66,,6,21581,D2 - Tony La Russa,124187,31.0,31.5,40.5,14.0,29.0,40.0,8.0,31.0,19.0,15.0,9.0,9.0,1735.5,18.0
6,Finding Nimmo,SPRX97,233,740,732,75,0.352,0.819,1348,47,89,3.66,1.18,75,,7,21581,D2 - Tony La Russa,124181,9.0,3.0,8.0,21.5,38.5,18.0,13.0,11.0,37.0,40.0,37.0,13.0,1782.5,17.0
7,kristusv,KristusV,280,809,756,100,0.341,0.83,1316,39,66,4.02,1.3,89,,8,21581,D2 - Tony La Russa,124204,39.5,19.0,18.0,38.0,18.0,27.5,11.0,6.0,17.0,24.5,12.0,28.0,1733.0,19.0
8,vzomed,vzomed,251,813,764,61,0.336,0.815,1669,60,83,4.32,1.26,98,,9,21581,D2 - Tony La Russa,124172,21.5,21.0,21.0,7.0,10.0,16.0,42.0,19.5,35.0,13.5,20.0,37.5,1707.5,23.0
9,Two Birds One Bat,sinfolaw,251,845,768,94,0.337,0.812,1419,86,47,4.33,1.36,93,,10,21581,D2 - Tony La Russa,124173,21.5,35.0,22.5,34.5,12.5,14.5,22.0,34.5,5.5,11.5,2.5,33.0,1660.5,25.0
10,BustHerPosey,BustHerPosey,241,794,755,73,0.333,0.783,1382,88,71,3.75,1.17,89,,11,21581,D2 - Tony La Russa,124165,14.0,16.0,17.0,19.0,4.5,1.0,17.0,36.0,20.5,37.0,41.0,28.0,1788.0,16.0
11,OldManMax,OldManMax,244,834,772,119,0.332,0.811,1107,51,81,4.25,1.31,47,,12,21581,D2 - Tony La Russa,124205,16.0,34.0,26.0,41.0,2.5,12.5,6.0,14.0,32.0,16.0,9.0,2.0,1416.0,36.0
12,CloudKoopa,CloudKoopa,225,752,713,65,0.337,0.811,1286,71,55,4.09,1.29,67,,13,21581,D2 - Tony La Russa,124154,5.5,8.0,4.0,11.5,12.5,12.5,9.0,27.0,11.0,22.0,14.5,11.0,1245.0,37.0
13,Who's Your Vladdy?,26torrez,213,696,699,94,0.337,0.81,898,78,47,4.57,1.34,32,,14,21581,D2 - Tony La Russa,124207,2.0,2.0,2.0,34.5,12.5,11.0,1.0,29.5,5.5,2.0,4.5,1.0,998.5,42.0
14,Zach20245,Zach20245,253,861,787,102,0.35,0.844,1538,57,72,3.98,1.17,100,,1,21580,D2 - Joe Torre,124167,23.5,40.5,28.0,39.0,36.0,37.5,35.0,18.0,22.5,27.0,41.0,39.5,2338.0,2.0
