,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Bang Bang Pop Pop,JohnnyFang,148,509,436,47,0.342,0.82,886,51,54,3.75,1.18,51,,1,21579,The Sultans of Stats 2019,124146,146.5,201.5,113.5,128.0,98.5,117.0,198.5,164.0,211.0,178.0,187.5,148.5,1892.5,24.0
1,Swinger Bell,WMason,152,509,471,48,0.355,0.845,852,27,48,4.21,1.24,48,,2,21579,The Sultans of Stats 2019,124153,165.0,201.5,178.5,135.5,200.5,178.5,175.5,60.0,190.5,66.0,112.5,114.0,1778.0,43.0
2,Harper Wallbanger,Prime416,181,494,524,47,0.344,0.852,867,27,39,4.17,1.28,45,,3,21579,The Sultans of Stats 2019,124185,226.0,180.5,222.0,128.0,126.5,196.5,188.0,60.0,161.0,74.0,62.5,93.0,1718.0,55.5
3,Ten Points for Griffeyndor,coreyjro,139,508,442,33,0.344,0.815,818,40,55,3.91,1.24,50,,4,21579,The Sultans of Stats 2019,124166,110.0,199.0,124.5,38.0,126.5,104.5,144.0,113.0,214.0,142.0,112.5,135.5,1563.5,84.0
4,Forearm Tightness,CropRhombus,145,478,449,52,0.341,0.827,788,11,54,3.94,1.18,49,,5,21579,The Sultans of Stats 2019,124156,133.5,144.5,139.0,161.0,89.0,137.0,126.5,12.0,211.0,131.5,187.5,122.5,1595.0,79.0
5,Beige Lunatics,Khaki_Scout,128,474,446,67,0.334,0.773,702,32,61,3.81,1.25,37,,6,21579,The Sultans of Stats 2019,124162,64.5,136.5,136.0,210.5,37.5,16.0,69.0,82.5,219.5,165.0,100.0,43.5,1280.5,125.0
6,Shaky,shaky,147,526,518,43,0.34,0.827,643,60,29,4.68,1.34,41,,7,21579,The Sultans of Stats 2019,124202,141.5,217.0,218.5,102.0,77.0,137.0,43.0,203.5,108.0,8.0,15.0,61.0,1331.5,117.0
7,Rocky Mountain High,rdknott,115,443,398,56,0.34,0.784,744,28,49,3.82,1.18,53,,8,21579,The Sultans of Stats 2019,124224,22.0,77.5,46.5,179.5,77.0,29.0,96.0,66.0,194.5,160.5,187.5,172.0,1308.0,121.0
8,Edwins Parrot,JamieSayer,154,440,444,31,0.349,0.836,638,28,65,4.31,1.35,29,,9,21579,The Sultans of Stats 2019,124194,172.0,72.5,130.0,25.5,161.5,162.5,39.5,66.0,223.5,40.0,11.5,15.0,1119.5,156.0
9,Rated Rookies,downpat75,138,440,428,38,0.339,0.82,760,32,27,4.08,1.28,54,,10,21579,The Sultans of Stats 2019,124189,104.5,72.5,97.0,68.5,67.5,117.0,104.5,82.5,95.0,95.5,62.5,178.0,1145.0,150.0
10,Yuuuuper Duper,Do_Not_Look_Up,135,451,424,59,0.341,0.802,850,25,30,4.47,1.31,50,,11,21579,The Sultans of Stats 2019,124169,91.5,90.0,88.0,189.0,89.0,61.5,172.0,48.5,114.0,20.5,33.0,135.5,1132.5,152.0
11,Humongous Melonheads,bearzRchill,122,410,413,44,0.337,0.793,847,42,49,3.94,1.25,42,,12,21579,The Sultans of Stats 2019,124179,41.0,29.5,67.0,110.0,57.0,43.5,168.5,123.5,194.5,131.5,100.0,67.0,1133.0,151.0
12,Clown Cheesesteaks,Hurtya,134,396,427,37,0.331,0.781,857,28,45,4.01,1.17,50,,13,21579,The Sultans of Stats 2019,124188,87.0,22.5,94.5,59.5,25.0,22.5,178.5,66.0,184.0,110.5,195.5,135.5,1181.0,142.5
13,Mighty Morphin' Bauer Rangers,notgradylittle,124,434,384,43,0.331,0.781,822,56,23,4.1,1.28,59,,14,21579,The Sultans of Stats 2019,124164,46.5,63.0,29.5,102.0,25.0,22.5,145.5,186.5,66.0,86.0,62.5,205.5,1040.5,173.0
14,Allegheny River Stranglers,kjohnm,134,428,409,28,0.332,0.8,745,28,38,3.77,1.23,42,,15,21579,The Sultans of Stats 2019,124151,87.0,54.0,64.0,14.0,28.5,54.5,97.0,66.0,154.0,173.5,122.5,67.0,982.0,179.0
15,boston phucknuts,phucknut,139,455,417,41,0.329,0.787,801,30,30,4.42,1.26,35,,16,21579,The Sultans of Stats 2019,124304,110.0,102.5,73.5,88.5,14.5,34.0,137.0,76.0,114.0,26.0,86.0,32.5,894.5,193.0
16,Hayzer,Hayzer13,141,496,476,37,0.352,0.829,948,30,43,3.47,1.17,62,,1,21581,D2 - Tony La Russa,124209,120.5,185.5,186.5,59.5,181.5,143.0,218.0,76.0,179.0,215.5,195.5,215.0,1975.5,17.0
