,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Bang Bang Pop Pop,JohnnyFang,116,400,342,35,0.342,0.814,724,42,47,3.81,1.19,42,,1,21579,The Sultans of Stats 2019,124146,139.0,198.0,101.5,115.5,121.0,118.5,200.0,164.5,216.0,136.0,158.5,164.5,3530.0,29.0
1,Forearm Tightness,CropRhombus,122,389,360,46,0.34,0.834,653,9,38,3.97,1.17,9,,2,21579,The Sultans of Stats 2019,124156,168.5,175.0,140.5,176.5,105.0,173.0,133.0,13.0,191.5,104.5,177.5,13.0,2944.5,87.0
2,Swinger Bell,WMason,120,387,373,32,0.357,0.842,692,21,41,4.07,1.23,21,,3,21579,The Sultans of Stats 2019,124153,162.0,171.5,170.5,87.0,206.0,194.0,169.0,52.0,201.5,73.0,110.0,52.0,3130.0,61.0
3,Ten Points for Griffeyndor,coreyjro,106,384,332,25,0.34,0.794,703,31,51,3.71,1.22,31,,4,21579,The Sultans of Stats 2019,124166,81.0,161.0,69.5,32.0,105.0,58.5,184.0,107.0,220.0,164.0,127.0,107.0,2713.0,107.0
4,Harper Wallbanger,Prime416,140,391,424,38,0.333,0.82,701,18,33,4.05,1.24,18,,5,21579,The Sultans of Stats 2019,124185,220.5,182.0,222.0,138.5,51.0,138.0,181.0,40.0,172.0,80.0,96.0,40.0,2862.0,97.0
5,Shaky,shaky,124,423,431,37,0.339,0.825,503,53,23,4.71,1.35,53,,6,21579,The Sultans of Stats 2019,124202,174.0,219.0,223.0,131.5,95.5,153.0,29.0,215.5,101.0,5.0,8.0,215.5,2892.0,93.0
6,Clown Cheesesteaks,Hurtya,107,321,352,30,0.328,0.778,725,24,34,3.7,1.12,24,,6,21579,The Sultans of Stats 2019,124188,88.0,26.0,124.5,71.0,25.5,31.5,201.0,71.5,179.5,167.5,210.0,71.5,2511.0,125.0
7,Yuuuuper Duper,Do_Not_Look_Up,115,364,349,51,0.35,0.821,689,21,25,4.61,1.35,21,,8,21579,The Sultans of Stats 2019,124169,133.5,104.5,118.5,198.0,179.0,142.0,166.0,52.0,119.0,8.0,8.0,52.0,2418.0,137.0
8,Beige Lunatics,Khaki_Scout,100,366,353,55,0.33,0.762,545,22,53,3.64,1.23,22,,9,21579,The Sultans of Stats 2019,124162,50.5,110.0,127.0,210.0,35.0,13.0,52.5,57.0,221.5,183.5,110.0,57.0,2377.5,140.0
9,Rocky Mountain High,rdknott,89,345,294,42,0.335,0.762,582,23,41,3.71,1.15,23,,10,21579,The Sultans of Stats 2019,124224,18.0,59.0,15.0,158.5,62.5,13.0,73.5,64.5,201.5,164.0,195.5,64.5,2159.0,162.0
10,Edwins Parrot,JamieSayer,119,354,356,22,0.352,0.838,545,23,42,4.3,1.35,23,,11,21579,The Sultans of Stats 2019,124194,155.0,79.5,136.0,18.0,191.0,183.0,52.5,64.5,204.5,32.0,8.0,64.5,2221.5,152.0
11,Rated Rookies,downpat75,112,354,336,33,0.335,0.809,599,27,16,4.01,1.27,27,,12,21579,The Sultans of Stats 2019,124189,113.0,79.5,83.0,97.5,62.5,105.5,81.0,86.5,56.0,91.5,63.0,86.5,1865.5,183.0
12,Humongous Melonheads,bearzRchill,97,334,333,36,0.336,0.788,678,33,34,4.04,1.27,33,,13,21579,The Sultans of Stats 2019,124179,37.5,39.0,74.5,124.0,69.5,44.5,157.0,115.0,179.5,84.5,63.0,115.0,2188.5,158.0
13,boston phucknuts,phucknut,115,364,340,32,0.323,0.78,642,27,24,4.13,1.21,27,,14,21579,The Sultans of Stats 2019,124304,133.5,104.5,96.0,87.0,10.5,34.0,125.0,86.5,109.5,66.0,140.0,86.5,1973.0,178.0
14,Mighty Morphin' Bauer Rangers,notgradylittle,103,341,305,32,0.322,0.771,667,50,16,4.1,1.26,50,,15,21579,The Sultans of Stats 2019,124164,64.0,51.5,27.0,87.0,8.5,22.5,143.0,203.0,56.0,68.0,75.0,203.0,1949.5,180.0
15,Allegheny River Stranglers,kjohnm,102,345,317,20,0.331,0.79,602,19,32,3.85,1.26,19,,16,21579,The Sultans of Stats 2019,124151,60.0,59.0,45.5,11.5,39.0,49.5,86.0,46.0,165.5,126.5,75.0,46.0,1526.0,203.0
16,Bavarian Legends,xacex,132,386,362,41,0.339,0.815,722,7,55,3.91,1.21,7,,1,21581,D2 - Tony La Russa,124148,199.5,168.5,145.0,152.0,95.5,123.0,198.5,10.5,226.0,117.0,140.0,10.5,2957.0,84.0
17,Hayzer,Hayzer13,112,376,367,31,0.339,0.8,756,26,33,3.28,1.11,26,,2,21581,D2 - Tony La Russa,124209,113.0,137.0,158.0,78.0,95.5,80.0,212.5,81.5,172.0,219.0,213.5,81.5,3198.0,53.0
18,Makes you wanna Schoop Schoop Schoop,shivvvy,114,362,321,37,0.352,0.838,745,46,26,3.95,1.2,46,,3,21581,D2 - Tony La Russa,124228,128.0,99.0,55.0,131.5,191.0,183.0,208.0,189.0,128.5,109.0,149.0,189.0,3481.0,32.0
19,Team Pup N Suds,florun,129,385,358,33,0.351,0.842,694,34,32,4.28,1.29,34,,4,21581,D2 - Tony La Russa,124161,193.0,165.0,138.0,97.5,186.5,194.0,171.0,119.5,165.5,36.0,40.0,119.5,3052.0,73.0
20,vzomed,vzomed,118,389,354,29,0.344,0.826,756,14,44,4.33,1.27,14,,5,21581,D2 - Tony La Russa,124172,147.5,175.0,131.0,61.5,140.0,158.5,212.5,24.0,210.0,27.0,63.0,24.0,2539.0,122.0
21,Syndergaarden Cop,GarrettGus,122,386,395,28,0.348,0.859,626,45,31,4.25,1.33,45,,6,21581,D2 - Tony La Russa,124187,168.5,168.5,202.5,52.5,164.5,211.0,110.0,184.0,160.0,41.0,18.0,184.0,3161.0,58.0
22,Finding Nimmo,SPRX97,109,333,329,28,0.363,0.832,680,18,40,3.69,1.21,18,,7,21581,D2 - Tony La Russa,124181,99.5,36.5,63.5,52.5,219.5,168.5,160.0,40.0,199.0,172.0,140.0,40.0,2762.5,103.0
23,OldManMax,OldManMax,122,377,385,48,0.333,0.806,573,25,44,4.15,1.35,25,,8,21581,D2 - Tony La Russa,124205,168.5,140.5,190.0,185.0,51.0,94.5,67.0,76.5,210.0,60.0,8.0,76.5,2452.0,129.0
